idx,구분,회사명,ICP세부,신뢰도,플래그,부스번호,웹사이트,원본카테고리,판단근거,확인사유
318,A,(주) 유나이티드앤글로벌,스킨케어,high,oem_with_brand,A-L07,https://ohavecosmetic.com/,"Skin Care, Cosmeceutical Products, Derma Cosmetics, Natural & Organic Cosmetics, Facial Masks, Men’s Care, Cleansing Products, Contract Manufacturing(OEM/ODM), Contract Manufacturing(Packing,Containers,etc.), Brands/Manufacturer(Skin Care), Brands/Manufacturer(Hair Care), Brands/Manufacturer(Medical & Beauty Equipment), Brands/Manufacturer (Tools/Accessories), Thread Lifts and Fillers, Laser/IPL/RF/Multi, Skin/Body Diagnosis Equipment, Home Aesthetic Device, Others","오하브(OHAVE) 비건 자사 스킨케어 브랜드(클렌저·선케어·마스크 등) 보유하고 자사몰 운영, PL·OEM/ODM은 부가 서비스로 명확히 소비자 브랜드 보유.",OEM겸자체브랜드
347,A,(주)리쎄코리아,스킨케어,high,oem_with_brand,A-L13,https://www.dumidang.com,"Skin Care, Body Care, Derma Cosmetics, Contract Manufacturing(OEM/ODM)","비건 DUMIDANG·더마 MEDIODERM·공주아·설온기 등 200여 SKU 자체 소비자 브랜드 보유(자체몰 dumidang.com), OEM/ODM은 병행.",OEM겸자체브랜드
350,A,LINDSAY&COS Inc.,스킨케어,high,oem_with_brand,A-J21,https://lindsaycos.com,"Skin Care, Facial Masks, Contract Manufacturing(OEM/ODM)","에스테틱·홈에스테틱 자체 브랜드 린제이로 마스크팩·스킨케어를 직접 생산·판매(자체몰 lindsaycos.com), OEM 병행.",OEM겸자체브랜드
396,A,아이프로덕트,향수,high,export|oem_with_brand,A-J06,https://drpercent.co.kr/,"Skin Care, Natural & Organic Cosmetics, Contract Manufacturing(OEM/ODM)",OEM이나 desc에 남성향수·그루밍·클린뷰티·바디케어 자체 브랜드를 운영하고 direct sales(D2C)·해외수출한다고 명시.,OEM겸자체브랜드
449,A,주식회사 더마라인,더마,high,oem_with_brand,A-H11,https://en.dermaline.co.kr,"Skin Care, Cosmeceutical Products, Derma Cosmetics, Cleansing Products, Contract Manufacturing(OEM/ODM), Brands/Manufacturer(Skin Care), Thread Lifts and Fillers","DERMALINE·D'LEXO·r;eden 3개 자체 브랜드 운영, PDRN 라인이 올리브영·코스트코·왓슨스 입점한 소비자 브랜드.",OEM겸자체브랜드
456,A,주식회사 드림코스,스킨케어,high,oem_with_brand,A-O31,https://camihouse.co.kr/,Others,SALMONLAB·RUDIA·LOVELYCC·DUFT&DOFT 등 스킨케어/메이크업/헤어/바디 다수 자체 소비자 브랜드 보유(OEM/ODM 겸업).,OEM겸자체브랜드
0,B,세포랩,더마,low,borderline,A-E01,https://cepolab.com/,Derma Cosmetics,desc 비어있음. 사명 세포랩/cepolab 자체도메인몰로 더마코스메틱 소비자 브랜드 추정하나 근거 약함.,저신뢰추정
18,B,(주)미성메탈,뷰티소품,low,borderline,A-E21,https://smartstore.naver.com/misunggc,Others,헤어브러시·미용소품 자체기획 상품을 스마트스토어로 판매하나 유통사·바이어 협업 중심이라 조건부.,저신뢰추정
28,B,(주)새로핸즈,향수,medium,oem_with_brand,A-K21,https://www.saerohands.com/,"Perfumery, Contract Manufacturing(OEM/ODM)","향수 OEM/ODM 기반이나 '퍼퓸얼','센트홈' 등 자체 완제품 라인을 완제품 시장으로 확장 중인 소비자 향수 브랜드",OEM겸자체브랜드
38,B,(주)씨유스킨,더마,low,borderline,A-R39,https://www.cueshop.co.kr,"Skin Care, Cosmeceutical Products, Derma Cosmetics, Facial Masks, Others, Hair Care Products",피부과 협력 코스메슈티컬 제조·유통이나 클리닉/에스테틱 전문채널 중심이라 소비자 D2C 브랜드성은 미확인,저신뢰추정
60,B,(주)이레코스메틱,스킨케어,medium,export|oem_with_brand|borderline,C-M56,https://www.irecosmetic.co.kr,"Skin Care, Contract Manufacturing(OEM/ODM), Brands/Manufacturer(Skin Care)","에스테틱 화장품 OEM/ODM 제조사이나 자체 브랜드 '오디코시','베라넘' 보유, 다만 베트남·캐나다 총판 등 해외 B2B 중심이라 국내 인플 의향 불명확.",OEM겸자체브랜드
