#,구분,회사명,카테고리,이메일,웹사이트,전화,부스번호,메모
1,이메일확인,CLAIRLISSE,대상(인터참),,,,,"다수 검색 시도에도 'CLAIRLISSE'라는 브랜드를 공식 웹사이트·전시 디렉터리·사업자 정보 어디서도 확인 불가. 유사명(Klairs, Clarins, Cla"
2,이메일확인,휴션,대상(인터참),,https://www.huceane.com,,,"huceane.com 공식 사이트 직접 방문(메인, About, Contact 페이지 확인). 문의 폼·물리 주소만 있고 이메일 주소는 공개되어 있지 않음. 채용"
3,이메일확인,주식회사 사계절,대상(인터참),,,,,"웹사이트 정보 없음. 동명 업체 다수(쇼핑몰 운영사, 가방류 업체 등) 존재. 화장품·뷰티 업체로 특정할 수 없고 이메일도 확인 불가. 오귀속 방지를 위해 unc"
4,이메일확인,브라이트,대상(인터참),,https://smartstore.naver.com/brightbrush,,,스마트스토어 직접 접근 불가(WebFetch 차단). brightbrush.xyz는 404 오류. 브랜드명 '브라이트'만으로는 동명 업체 다수. 공식 이메일 확인
5,이메일확인,주식회사 아가파월드,대상(인터참),,https://www.wechat.com/Afgfguknnn,+82-10-4407-9787,,"공식 웹사이트(agafar.com) 및 사업자정보(moneypin.biz, 114.co.kr) 전수 확인. 모든 채널에서 이메일 미노출 — 전화(070-4942-"
6,이메일확인,Beaufirst Global Company Limited,대상(인터참),,,,,웹사이트 정보 없음. 'Beaufirst Global Company Limited'로 검색 시 이 회사를 특정할 수 있는 공식 홈페이지·사업자 정보·전시 디렉터리
7,이메일확인,주식회사 메조팜,대상(인터참),purple9260@hnamail.net,https://mesopharm.co.kr/,010-9938-2525,,"공식 사이트(mesopharm.co.kr, mesopharm20.cafe24.com, 구 사이트)에서 이메일 미노출. bizno.net 조회 이메일(cosmocn"
8,이메일확인,(주)미성메탈,대상(인터참),jkhan@misunggc.co.k,https://smartstore.naver.com/misunggc,0415546334,,current_email 도메인 'misunggc.co.k'는 'misunggc.co.kr' 오타로 보임(공식 도메인 misunggc.co.kr은 tradekor
9,이메일확인,㈜3일애,대상(인터참),sales@3dayslove.kr,https://www.3dayslove.kr/,0215771586,,공식 글로벌몰(en.3dayslove.shop) footer에서 공식 이메일로 cgen@hanmail.net 확인됨. sales@3dayslove.kr는 공식 웹
10,이메일확인,"BiOBiO Co.,Ltd.",대상(인터참),,https://www.biobiokorea.com/,+8270-4651-6743,,biobiokorea.com 홈페이지 접근은 됐으나 footer/회사정보 페이지(404)에서 이메일을 확인 불가. 인스타(@biobio_cosmetics) 및 사
11,이메일확인,미영씨앤씨,대상(인터참),,https://hesolmall.com/,051-808-2778,,"hesolmall.com footer에는 운영사가 (주)에코마인(대표 문외숙, 사업자 605-81-90117, haesol@ecomine.co.kr)으로 명시돼 "
12,이메일확인,VINACEUTICALS,대상(인터참),,https://vinaceuticals.vn,+84901288809,,vinaceuticals.vn 홈페이지 및 /contact 페이지 모두 콘텐츠 없이 회사명만 표시. LinkedIn·구글 검색에서도 VINACEUTICALS Vi
13,이메일확인,성림 BNC,대상(인터참),sunglimbnc@naver.com,http://www.sunglimbnc.com,02-413-1945,,sunglimbnc.com은 SSL 인증서 만료로 접근 불가(인증서 오류). 따라서 공식 웹사이트에서 sunglimbnc@naver.com이 이 회사 것임을 직접
14,이메일확인,(주) 엠디무역,대상(인터참),,https://www.mdwig.co.kr/,010-9403-1281,,제공된 current_email mdtrad@naver.com은 공식 웹사이트(mdwig.co.kr) 어디에도 확인되지 않음. 사이트 footer에 표시된 이메일
15,이메일확인,JDN CORPORATION LIMITED,대상(OEM),,,,,"검색 결과 확인된 jdnpackaging.com의 JDN Corporation Limited는 중국계 화장품 포장재 회사(광저우)로, INTERCHARM Kore"
16,이메일확인,제너랩,대상(OEM),,,,,"bizno.net 및 다수 검색에서 '제너랩'으로 등록된 화장품 회사 확인 불가. 유사명 '제나랩(Genalab, grace@genalab.co.kr)'이 존재하"
17,이메일확인,주식회사 에코마인,대상(OEM),,,,,"에코마인(ecomine.co.kr, 부산 강서구, 두발화장품 전문, 대표 문외숙) 존재 확인. 그러나 공식사이트 SSL 오류로 직접 접근 불가, tradekore"
18,이메일확인,에이치알메디텍,대상(OEM),,,,,"에이치알메디텍(hrmeditech.co.kr, 인천 서구 가좌동, 대표 이현철, 미용기기·의료기기 OEM ODM) 존재 확인. FOB B2B 디렉터리에 ryu06"
19,이메일확인,(주)바라보니화장품,대상(OEM),,,,,"공식 이메일을 확인할 수 있는 출처를 찾지 못함. 공식 홈페이지 확인 불가, INTERCHARM Korea 전시 디렉토리 site: 검색에서 해당사 페이지 미노출"
20,이메일확인,(주)순바이오팜,대상(OEM),,,,,"웹 검색 결과에서 orca218@soonbiopharm.com이 반복 등장하나, 이 주소가 실제 공식 사이트 페이지(footer·contact 등)에서 직접 노출"
21,이메일확인,뉴런,대상(OEM),,,,,"여러 검색을 시도했으나 '뉴런'이라는 이름의 화장품·뷰티 회사를 특정할 수 없음. 동명의 다른 업종 회사(교육, IT 등)만 검색됨. 공식 웹사이트·사업자 정보·"
22,이메일확인,Symphony Cosmetic Inc.,대상(OEM),,,,,한국 기반 'Symphony Cosmetic Inc.'를 공식 출처에서 특정하지 못함. symphonybeauty.com은 별개의 미국 계열 브랜드이며 동일 회사
