company,instagram,status,source,note
TREEANNSEA 트리앤씨,treeannsea_official,found,https://www.treeannsea.com/,공식 웹사이트(treeannsea.com) 소셜 메뉴에서 @treeannsea_official 링크 확인
(주)더제이알,beverlyhillspoloclub_kr,found,https://www.polocosmetic.com,polocosmetic.com에서 운영 브랜드 Beverly Hills Polo Club의 공식 Instagram으로 @beverlyhillspoloclub_kr 링크 명시 확인
(주)본플렉스,bonplex_official,found,https://www.instagram.com/bonplex_official/,웹검색에서 instagram.com/bonplex_official이 '본플렉스' 계정으로 직접 색인됨. 공식 사이트(bonplex.co.kr) 보유 확인
㈜프롬비건,chorokchorong.official,found,https://www.chorokchorong.com,chorokchorong.com에서 @chorokchorong.official 링크 및 Instagram 피드 삽입 확인. 운영 브랜드명 '초록초록' 기준 계정
벨플라워,bellflower_kor,found,https://bellflowercos.com/,bellflowercos.com 하단 'Follow us' 섹션에서 @bellflower_kor 링크 직접 확인
주식회사 보타닉센스,botanicsens,found,https://www.botanicsens.com/,botanicsens.com 푸터에 @botanicsens(글로벌)와 @botanicsens.korea(한국) 두 계정 링크됨. 글로벌 대표 계정 @botanicsens 채택
누셀리크,nuselique_official,found,https://www.instagram.com/nuselique_official/,Instagram 페이지 타이틀에서 '누셀리크 NUSELIQUE (@nuselique_official)' 직접 확인. 공식 사이트(nuselique.co.kr)의 Instagram 링크는 플레이스홀더여서 페이지 직접 접근으로 대체 검증
CLAIRLISSE,,uncertain,,제공된 웹사이트 없음. 브랜드명 검색 결과에서 한국 화장품 브랜드 CLAIRLISSE를 특정하는 공식 사이트 또는 Instagram 계정을 확인할 수 없었음. @clairlisse 핸들이 Instagram에 존재하나 해당 계정이 이 브랜드 것임을 입증하는 근거 확보 불가
DEWVERO,dewvero_official,found,http://www.dewvero.com (footer 소셜 링크),공식 웹사이트 푸터에 @dewvero_official 표기
LANNUE,lannue.official,found,https://lannue.co.kr/ (footer 소셜 링크),공식 웹사이트 푸터에 @lannue.official 반복 표기
celebon,celebon_kr,found,https://www.celebon.co.kr (footer Instagram 링크),공식 웹사이트 푸터에 instagram.com/celebon_kr 링크 확인
matthew chang perfumes,matthewchangperfumes,found,https://matthewchangperfumes.com/ (footer Social Media 섹션),공식 웹사이트 Social Media 섹션에 instagram.com/matthewchangperfumes 링크 확인
주식회사 랑벨,lanbelle.official,found,https://lanbelle.com/ (footer 소셜 링크),공식 웹사이트 푸터에 @lanbelle.official 링크 확인
주식회사 바이잇,luvum_official,found,https://luvum.co.kr/ (footer 소셜 링크),"공식 웹사이트 푸터에 한국 공식 계정 @luvum_official 확인 (글로벌: luvum_global, 일본: luvum_japan)"
안탈라,antala_official,found,https://antala.kr/ (footer Instagram 링크),공식 웹사이트 푸터에 instagram.com/antala_official 링크 확인
스튜디오17,studio17_official,found,https://www.instagram.com/studio17_official/ (웹 검색 결과 - Seoul 위치 표기 공식 계정),"웹사이트 파싱 불가로 검색 경유 확인. IG 프로필에 '스튜디오17 | Studio17 Official'·Seoul 명시, studio17.co.kr과 브랜드 일치"
(주)더엘그룹,,uncertain,https://www.instagram.com/spatheel/ / https://theelstore.com/,"대표 이미나의 개인+브랜드 혼합 계정 @spatheel(66K)과 스파 공식 @spatheel_official(2K)이 존재하나, '더엘스토어' 또는 '더엘그룹' 명의의 독립 브랜드 공식 IG는 확인되지 않음. @spatheel은 대표 개인계정 성격이 강해 브랜드 공식으로 채택하기 불확실."
(주)씨케이리제온,ckregeon,uncertain,https://www.instagram.com/ckregeon/,"검색에서 @ckregeon 확인. 단, 이 계정이 dermaregeon 소비자 브랜드 공식인지 법인(씨케이리제온) 계정인지 바이오 확인 불가. 공식 웹사이트(dermaregeon.com)에는 IG 링크 없음."
CETERA,cetera.official,found,https://www.instagram.com/cetera.official/,검색 결과 제목에 '세테라 CETERA (@cetera.official)'로 명시. cetera.co.kr 브랜드와 동일명.
(주)섬섬바이오,searce_official,found,https://searce.shop/,공식 웹사이트 searce.shop에서 instagram.com/searce_official 링크 직접 확인.
