회사명,구분,확보 이메일,출처,신뢰도,영업 적합도,비고
애경산업,뷰티(브랜드사),privacy@aekyung.kr / kangmi1219@aekyung.kr,기존 DB(네이버뷰티),높음,적합,본사보다 브랜드(에이지투웨니스·루나 등) 단위 공략 권장
달바글로벌,뷰티(브랜드사),biz_korea@dalba.com,기존(6월/DB),높음,적합,달바
구다이글로벌,뷰티(브랜드사),support_kr@beautyofjoseon.com,기존(6월),높음,적합,조선미녀 모회사
엘앤피코스메틱,뷰티(브랜드사),help@medihealcos.com,기존(6월/DB),높음,적합,메디힐
클리오,뷰티(브랜드사),byj0204@clio.co.kr / clioir@clio.co.kr,기존 DB,높음,적합,구달·페리페라 등 자사 브랜드 다수 보유
비나우,뷰티(브랜드사),admin@benow.co.kr / marketing@benow.co.kr,기존 DB,높음,적합,넘버즈인·퓌 모회사
카버코리아,뷰티(브랜드사),so-jung.kim@carverkorea.com,기존 DB,높음,적합,AHC
씨앤씨인터내셔널,메이크업 ODM,juddoh@cnccosmetic.com,웹 검색,중간,부적합(우선순위 낮음),타사 OEM/ODM 생산사 → 인플루언서 마케팅 비적합
고운세상코스메틱,뷰티(브랜드사),확인 필요,웹(홈페이지 문의폼),낮음,적합,닥터지(Dr.G). 홈페이지 폼/인스타 DM 확인 필요
코스메카코리아,제조 ODM,미확보,웹 검색 실패,-,부적합,순수 ODM → 제외 권장
그린케미칼,화학 소재,미확보,웹(KPX그린케미칼=화학사),-,부적합,화장품 브랜드 아님 → 제외/동명 확인
PONPISH,뷰티,brand@ponpish.kr,기존 DB(브랜더진 앱),높음,적합,⚠ 2026-02-02 이미 발송 완료(중복)
