회사명(매출순),브랜드(예),확보 이메일,출처,상태,비고
글루가,오호라(ohora),ohora_partnership@ohora.com,웹(제휴전용),신규·확보,제휴 전용 주소 - 신뢰도 높음
페렌벨,썸바이미(SOME BY MI),global@somebymi.com,웹,신규·확보,국내 제휴는 retail@somebymi.com 병행
토니모리,토니모리,hjyoon2104@tonymoly.com,웹,신규·확보,담당자 메일 추정 - 반송 시 corp.tonymoly.com 문의폼
스킨79,스킨79,tiffany@skin79.com,웹,신규·확보,대표문의 HELP@skin79.com 병행
라엘코리아,라엘(Rael),raelkorea@getrael.com,웹,신규·확보,홈페이지 B2B 제휴문의 폼 존재
이미인,이미인(색조),미확보,웹(폼/전화),신규·리서치필요,imineskin.com 문의폼·031-8077-0300 / 인스타 DM 권장
본느,터치인솔,미확보,웹(전화),신규·리서치필요,본느 자체는 ODM·자사브랜드 터치인솔만 적합 / 02-6423-4122
고운세상코스메틱,닥터지(Dr.G),gmteam@gwss.co.kr,기존DB(네이버뷰티),기존·발송완료,⚠ 2026-02 발송 완료(중복 주의)
LG생활건강,더후·숨37·오휘·비욘드·CNP,lgbeautymall@lghnh.com,기존DB,기존·발송이력,브랜드 단위 접근 권장
아모레퍼시픽,라보에이치·려·마몽드·에스트라,labo-h@amorepacific.com 외,기존DB,기존·발송이력,브랜드별 담당 상이
에이피알,메디큐브·에이프릴스킨,cs123@apr-in.com,기존DB,기존·발송이력,
애경산업,에이지투웨니스·루나,privacy@aekyung.kr,기존DB,기존·발송이력,
엘앤피코스메틱,메디힐,help@medihealcos.com,기존DB,기존·발송이력,
클리오,클리오·페리페라·구달,byj0204@clio.co.kr,기존DB,기존·발송이력,자사 브랜드 다수
비나우,넘버즈인·퓌,admin@benow.co.kr,기존DB,기존·발송이력,
카버코리아,AHC,so-jung.kim@carverkorea.com,기존DB,기존·발송이력,
아이패밀리에스씨,롬앤,romandyou@romand.co.kr,기존DB,기존·발송이력,
에이블씨엔씨,미샤·어퓨,cs@ableshop.net,기존DB,기존·발송이력,
앱솔브랩,토리든,mkt@torriden.com,기존DB,기존·발송이력,운영사 매핑 확인 권장
네오팜,리얼베리어·제로이드·더마비,neoshop@neopharm.co.kr,기존DB,기존·발송이력,
와이어트,어노브·닥터포헤어,global_mkt@wyattcorp.com,기존DB,기존·발송이력,
해브앤비,닥터자르트,webmaster@drjart.com,기존DB,기존·발송이력,
정샘물뷰티,정샘물,jsmbeauty@jsmbeauty.com,기존DB,기존·발송이력,
마녀공장,마녀공장,manyofactory_cs@manyo.co.kr,기존DB,기존·발송이력,
스킨이데아,메디필,skinidea@medipeel.com,기존DB,기존·발송이력,
엔프라니,홀리카홀리카,answer76@enprani.com,기존DB,기존·발송이력,
코리아나화장품,앰플엔·라비다,dahee_j@coreana.co.kr,기존DB,기존·발송이력,
잇츠한불,체이싱래빗·딕셔니스트,its_mkt@itshanbul.com,기존DB,기존·발송이력,
노드메이슨,헉슬리·피브,mkt@nordmason.com,기존DB,기존·발송이력,
세화피앤씨,모레모,moremofam@sewha.co.kr,기존DB,기존·발송이력,
더모멘트,디퍼앤디퍼,differndeeper@themomentgroup.co.kr,기존DB,기존·발송이력,
미립,일소,marketing_1@milip.kr,기존DB,기존·발송이력,
오유인터내셔널,원데이즈유,sales@oukorea.com,기존DB,기존·발송이력,
셀트리온스킨큐어,한스킨,webmaster@celltrionskincure.com,기존DB,기존·발송이력,
구다이글로벌,조선미녀·스킨1004,support_kr@beautyofjoseon.com,6월리스트,기존,
달바글로벌,달바,biz_korea@dalba.com,6월리스트,기존,
이즈앤트리,이즈앤트리,marketing@isntree.com,기존DB,기존·발송이력,
삐아,삐아,trde12027@bbia.co.kr,기존DB,기존·발송이력,
데이지크,데이지크,marketing@dasique.com,기존DB,기존·발송이력,
어뮤즈코리아,어뮤즈,help_amuse@amusemakeup.com,기존DB,기존·발송이력,
라카코스메틱스,라카,ksales@laka.co.kr,기존DB,기존·발송이력,
아로마티카,아로마티카,communication@aromatica.co.kr,기존DB,기존·발송이력,
논픽션,논픽션,hello@nonfiction.com,기존DB,기존·발송이력,
더마펌,더마펌,cs@dermafirm.com,기존DB,기존·발송이력,
시드물,시드물,help@sidmool.com,기존DB,기존·발송이력,
톤28,톤28,ask@toun28.com,기존DB,기존·발송이력,
프리티스킨,프리티스킨,prettyskin@prettyskin.co.kr,기존DB,기존·발송이력,
샤르드,샤르드,global@newselect.co.kr,기존DB,기존·발송이력,
참존,참존,online@charmzone.co.kr,기존DB,기존·발송이력,
동구밭,동구밭,collaboration@donggubat.com,기존DB,기존·발송이력,
마르시끄,마르시끄,business@marshique.com,기존DB,기존·발송이력,
지본코스메틱,지본,admin@jtcosmetic.com,기존DB,기존·발송이력,
포렌코즈,포렌코즈,jwlee@forencos.com,기존DB,기존·발송이력,
파워풀엑스,유브이엑스,online@powerfulx.com,기존DB,기존·발송이력,
원씽,원씽,onething@onething.kr,기존DB,기존·발송이력,
씨유스킨,씨유스킨,301927@cuskin.co.kr,기존DB,기존·발송이력,
나인위시스,나인위시스,help@9wishes.co.kr,기존DB,기존·발송이력,
멜릭서,멜릭서,info@melixir.com,기존DB,기존·발송이력,
시바산,시바산,info@civasan.com,기존DB,기존·발송이력,
야다,야다,info@yadahcosmetics.com,기존DB,기존·발송이력,
새로핸즈,새로핸즈,saero@saero.co.kr,기존DB,기존·발송이력,
파뮤,파뮤,online@femmue.com,기존DB,기존·발송이력,
나인원코스메디,나인원,91cosmedi@naver.com,기존DB,기존·발송이력,
