company,email,status,source,note
CLAIRLISSE,,uncertain,https://www.intercharmkorea.com/en-us/Exhibitor_directory.html,"다수 검색 시도에도 'CLAIRLISSE'라는 브랜드를 공식 웹사이트·전시 디렉터리·사업자 정보 어디서도 확인 불가. 유사명(Klairs, Clarins, Clalire 등)만 검색됨. 동명 혼동 리스크로 추측 금지 판단."
휴션,,uncertain,https://www.huceane.com/pages/contact,"huceane.com 공식 사이트 직접 방문(메인, About, Contact 페이지 확인). 문의 폼·물리 주소만 있고 이메일 주소는 공개되어 있지 않음. 채용·디렉터리 검색에서도 공식 이메일 확인 불가."
주식회사 사계절,,uncertain,,"웹사이트 정보 없음. 동명 업체 다수(쇼핑몰 운영사, 가방류 업체 등) 존재. 화장품·뷰티 업체로 특정할 수 없고 이메일도 확인 불가. 오귀속 방지를 위해 uncertain 처리."
ODSY,hello@odsycoltd.com,found,https://odsycoltd.com/sub/aboutus.html,"공식 홈페이지 odsycoltd.com About 페이지에서 직접 확인. 회사명 오디세이㈜(ODYSSEY Co., Ltd.), 사업자등록번호 377-88-02283, 화장품·보디케어 브랜드(Bodiance, Facially 등) 운영 확인. hello@odsycoltd.com은 파트너십 문의 이메일이며 도메인이 공식 사이트와 일치."
브라이트,,uncertain,https://smartstore.naver.com/brightbrush,스마트스토어 직접 접근 불가(WebFetch 차단). brightbrush.xyz는 404 오류. 브랜드명 '브라이트'만으로는 동명 업체 다수. 공식 이메일 확인 불가.
지비알아이디어,seo9009@hanmail.net,found,https://www.vah.co.kr,"vah.co.kr 공식 쇼핑몰 footer에서 직접 확인. 운영 회사명은 (주)브이에이에이치(VAH)이며, 상담/주문 이메일로 seo9009@hanmail.net 표기. hanmail 범용 도메인이나 자사몰 footer에서 그 회사 것임을 직접 확인한 경우에 해당."
주식회사 아가파월드,,uncertain,https://agafar.com/,"공식 웹사이트(agafar.com) 및 사업자정보(moneypin.biz, 114.co.kr) 전수 확인. 모든 채널에서 이메일 미노출 — 전화(070-4942-2987)와 카카오톡 채널만 제공. 공식 출처로 그 회사 것임을 확인된 이메일 없음."
(주)제노헬릭스,xenohelix@xenohelix.com,confirmed,https://www.southkoreayp.com/company/116757/Xenohelix,이메일 도메인 xenohelix.com이 공식 웹사이트 도메인과 일치. 비즈니스 디렉터리(southkoreayp.com)에서 xenohelix@xenohelix.com으로 기재 확인. Tracxn에서도 *@xenohelix.com 패턴 확인됨.
Beaufirst Global Company Limited,,uncertain,https://www.intercharmkorea.com/en-us/Exhibitor_directory.html,웹사이트 정보 없음. 'Beaufirst Global Company Limited'로 검색 시 이 회사를 특정할 수 있는 공식 홈페이지·사업자 정보·전시 디렉터리 상세페이지 어디에서도 확인 불가. 동명 혼동 위험 있어 추측 불가.
주식회사 메조팜,purple9260@hnamail.net,uncertain,https://mesopharm.co.kr/,"공식 사이트(mesopharm.co.kr, mesopharm20.cafe24.com, 구 사이트)에서 이메일 미노출. bizno.net 조회 이메일(cosmocnt20@naver.com)은 별도 회사 코스모씨앤티 것으로 확인됨. purple9260@hanmail.net이 연관 검색에서 등장하나 출처가 메조팜 공식 채널이 아닌 판매처 정보이며, current_email의 도메인(hnamail.net)은 한메일 도메인(hanmail.net) 오타 의심. 공식 출처로 확증 불가."
(주)미성메탈,jkhan@misunggc.co.k,uncertain,https://misunggc.tradekorea.com/company.do,current_email 도메인 'misunggc.co.k'는 'misunggc.co.kr' 오타로 보임(공식 도메인 misunggc.co.kr은 tradekorea 디렉터리·잡코리아 기업정보에서 확인됨). 그러나 jkhan 담당자 이메일이 어떤 공식 출처에서도 게시된 기록 없어 올바른 이메일로 정정 불가. 도메인 오타 수정(misunggc.co.kr)은 추측에 해당하므로 uncertain 유지.
㈜3일애,sales@3dayslove.kr,uncertain,https://en.3dayslove.shop/,"공식 글로벌몰(en.3dayslove.shop) footer에서 공식 이메일로 cgen@hanmail.net 확인됨. sales@3dayslove.kr는 공식 웹사이트·gobizkorea 프로필·contact 페이지 어디에서도 노출되지 않음. 공식 채널 확인 불가로 현재 이메일 검증 실패, 교체 근거도 충분하지 않아 uncertain 처리."
