company,email,status,source,note
CLAIRLISSE,,uncertain,https://www.intercharmkorea.com/en-us/Exhibitor_directory.html,"웹 전체 검색 및 Intercharm Korea 2026 참가업체 디렉토리 검색 결과, CLAIRLISSE 브랜드명으로 공식 웹사이트·이메일을 확인하지 못함. 동명 혼동 방지를 위해 추측 불가."
제이크리컴퍼니,jcre@jcrecompany.com,confirmed,http://www.lefilleo.com/privacy_policy.php,lefilleo.com 개인정보처리방침에 (주)제이크리컴퍼니의 개인정보보호책임자 이메일로 jcre@jcrecompany.com 명시됨. 도메인이 회사 공식 도메인(jcrecompany.com)과 일치하여 신뢰 높음.
"SHINAN COSMETICS Co., Ltd.",admin@shinancosmetics.co.kr,found,https://en.shionle.com/,공식 영문몰 en.shionle.com 본문에 'CONTACT admin@shinancosmetics.co.kr FOR MORE INFORMATION' 명시 확인. 도메인 shinancosmetics.co.kr이 회사명과 일치. Intercharm Korea 2026 참가업체 등록도 확인됨.
(주)한국쉬즈라인,info@koreashesline.co.kr,confirmed,https://toolif.co.kr,"toolif.co.kr footer에 사업자명 (주)한국쉬즈라인, 사업자등록번호 215-81-46169, 이메일 info@koreashesline.co.kr 명시 확인. 도메인 koreashesline.co.kr이 회사명과 일치하여 신뢰 높음."
휴션,,uncertain,https://www.huceane.com,"huceane.com 공식 사이트 contact/about 페이지 모두 확인했으나 이메일 미노출, 문의 양식만 존재. 웹 검색에서도 공식 이메일 미확인. 추측 불가."
주식회사 사계절,,uncertain,,웹사이트 정보 없이 사명만으로 검색 시 동명 타사(사계절컴퍼니 등) 다수 존재. 화장품 업체 특정 불가로 이메일 확인 불가. 추측 금지.
레보아미,sun2268@naver.com,confirmed,https://www.k-expo.org/brand-exhibition-2024/?bmode=view&idx=14738706,공식 브랜드 전시관(KOREA EXPO) 프로필에서 sun2268@naver.com이 대표자(김선태) 연락처로 등록 확인. 공식 사이트 amies2.co.kr도 동일 이메일 사용 확인. 범용 도메인(naver)이나 공식 디렉터리 출처에서 해당 회사 것임을 확인함.
ODSY,,uncertain,,"웹 검색에서 'ODSY'라는 한국 화장품 브랜드를 특정할 수 없었음. odsycoltd.com은 '오디세이㈜(ODYSSEY Co., Ltd.)'로 별개 회사. deunerang@naver.com이 어떤 공식 채널에서도 ODSY 브랜드 연락처로 확인되지 않음. 동명 혼동 가능성이 있어 추측 불가 — 이메일 비워둠."
(주)승건코스메틱스,lppm47@naver.com,found,https://www.loobee.co.kr/,공식 웹사이트(loobee.co.kr) 하단 푸터에 대표자 이메일로 lppm47@naver.com이 등재됨. 전화번호 010-7577-5702도 함께 표기. 해당 사이트가 (주)승건코스메틱스 운영임을 footer 사업자정보로 확인.
브라이트,,notfound,,"smartstore.naver.com/brightbrush 페이지를 직접 fetch할 수 없고, 웹 검색에서도 '브라이트(brightbrush)' 스마트스토어의 공식 이메일을 확인할 수 있는 출처가 없었음. 스마트스토어 사업자정보는 직접 방문 확인 필요."
리타,liita@proving-grounds.co.kr,confirmed,https://www.liita-seoul.com/pages/contact,liita-seoul.com의 공식 Contact 페이지에 liita@proving-grounds.co.kr이 문의 전용 이메일로 명시됨. LIITA@phosesei.kr은 회사정보란(사업자 기재)에 병기되나 contact 폼의 주 이메일은 proving-grounds.co.kr 도메인. current_email과 일치.
지비알아이디어,,uncertain,https://www.vah.co.kr/,"vah.co.kr의 사업자명은 '주식회사브이에이에이치(VAH)'이며 지비알아이디어가 아님. seo9009@hanmail.net은 VAH Corporation의 상담/주문 이메일로 확인되나, 이 이메일이 지비알아이디어 소속인지 확인 불가. 회사 식별 불일치로 귀속 금지."
셀비오코스메틱(주),cellviocosmetic@naver.com,confirmed,https://www.cellviocosmetic.co.kr/,회사 공식 사이트 하단 '개인정보관리책임자' 및 컨택 항목에 동일 이메일 명시. naver 범용 도메인이나 자사 웹사이트에서 직접 확인되어 신뢰 가능.
이아이오(L-H02) / 누이브(L-H03),eiio@cosmetina.co.kr,found,https://eiio.co.kr/,"공식 사이트 footer에 '홍보 및 제휴문의' 이메일로 eiio@cosmetina.co.kr 명시. 운영사는 주식회사 코스메티나(Cosmetina Co., Ltd.)로, EIIO 상표 USPTO 등록도 동사 명의. 누이브(NUIVE) 브랜드도 동일 운영사 확인. 기존 이메일 없던 항목에 신규 발굴."
(주)케이비에이치케어,kbhcare@naver.com,confirmed,https://kbhcare.com/,"공식 사이트 footer에 kbhcare@naver.com, 전화 +82-2-868-4795, 서울 소재 주소 함께 명시 확인. naver 범용 도메인이나 자사 웹사이트에서 직접 확인."
주식회사 아가파월드,,uncertain,https://agafar.com/,공식 사이트(agafar.com) 및 영문 글로벌 사이트(agafarusa.com)에 이메일 주소 일체 미게재. 전화(02-3281-2253)·카카오톡만 안내. current_email인 info@agafar.com을 이 회사 것으로 확인해줄 공식 출처 없음 — 추측 불가로 uncertain 처리.
(주)제노헬릭스,xenohelix@xenohelix.com,uncertain,https://www.southkoreayp.com/company/116757/Xenohelix,"xenohelix.com 공식 사이트 접속 불가(ECONNREFUSED). 한국 비즈니스 디렉터리(southkoreayp.com)에 xenohelix@xenohelix.com 및 전화 +82-032-815-7213 기재 확인. 도메인 일치(xenohelix.com)로 신뢰도 있으나, 자사 공식 웹사이트에서 직접 확인 불가 — 규칙상 confirmed 처리 불가, uncertain 유지."
Beaufirst Global Company Limited,,uncertain,,"공식 웹사이트 확인 불가. 검색 결과에서 이 회사의 신뢰할 수 있는 출처 없음. current_email Beaufirstglobal@gmail.com을 이 회사 것으로 귀속시킬 공식 출처 발견 불가. 동명 혼동 리스크도 배제 불가 — 추측 금지 원칙에 따라 uncertain, 이메일 비워둠."
메딕콘,medicon@medicon.co.kr,confirmed,http://www.medicon.co.kr/en/page/13,도메인이 공식 웹사이트(medicon.co.kr)와 일치. Contact Us 페이지에서 영업부 공식 이메일로 확인됨.
피텐,pms@pitenkorea.com,confirmed,https://www.drpiten.com/contact-us,"drpiten.com의 Contact Us 페이지에 주식회사 피텐 공식 이메일로 pms@pitenkorea.com 명시 확인. pitenkorea.com이 법인 공식 도메인이며, drpiten.com은 동일 법인의 쇼핑몰 도메인."
