회사명,이메일,인스타,웹사이트,카테고리,Tier,홀,부스번호,전화,이메일상태
TREEANNSEA 트리앤씨,global@treeannsea.co.kr,treeannsea_official,http://www.treeannsea.us,스킨케어,Tier A,134,134,070-4138-3777,기존
(주)더제이알,thejrinc17@gmail.com,beverlyhillspoloclub_kr,https://www.polocosmetic.com,스킨케어,Tier A,A,A-A04,07076262201,기존
(주)본플렉스,ellaplex@ellaplex.com,bonplex_official,https://www.wechat.com/bonplex01,헤어,Tier A,A,A-A08,+82 10-6710-3368,기존
㈜프롬비건,cdysr@fromvegan.co.kr,chorokchorong.official,https://www.chorokchorong.com,스킨케어,Tier A,A,A-A15,01077542537,기존
벨플라워,bellflower.cs@gmail.com,bellflower_kor,https://bellflowercos.com/,스킨케어,Tier A,A,A-A20,031-901-0144,기존
주식회사 보타닉센스,info@botanicsens.com,botanicsens,https://www.botanicsens.com/,스킨케어,Tier A,A,A-A21,1666-6536,기존
누셀리크,soisintl.biz@gmail.com,nuselique_official,https://nuselique.co.kr/,더마,Tier A,A,A-B03,01035848277,기존
CLAIRLISSE,,,,더마,Tier A,A,A-B07,,uncertain
DEWVERO,nscompany123@naver.com,dewvero_official,http://www.dewvero.com,스킨케어,Tier A,A,A-B08,010-7139-2569,기존
LANNUE,lannue.cos@gmail.com,lannue.official,https://lannue.co.kr/,스킨케어,Tier A,A,A-B11,070-4210-1301,기존
celebon,dhoh@hlmc.co.kr,celebon_kr,https://www.celebon.co.kr,스킨케어/더마,Tier A,A,A-B12,1544-5455,기존
matthew chang perfumes,contact@matthewchangperfumes.com,matthewchangperfumes,https://matthewchangperfumes.com/,향수,Tier A,A,A-B13,02-723-1583,기존
주식회사 랑벨,shoo.noh@lanbelle.com,lanbelle.official,https://lanbelle.com/,더마,Tier A,A,A-B16,031-607-8707,기존
주식회사 바이잇,export@luvum.co.kr,luvum_official,https://luvum.co.kr/,스킨케어,Tier A,A,A-B26,02-1599-3451,기존
안탈라,official@antala.one,antala_official,https://antala.kr/,더마,Tier A,A,A-B28,051-710-1201,기존
스튜디오17,lrkim@thebkor.com,studio17_official,https://www.studio17.co.kr,메이크업,Tier A,A,A-B36,+82 2-6013-6715,기존
(주)더엘그룹,marketing.theel@gmail.com,,https://theelstore.com/,스킨케어,Tier A,A,A-B41,070-7699-3949,기존
(주)씨케이리제온,dermaregeon@ckregeon.com,,https://dermaregeon.com/en/,헤어,Tier A,A,A-B48,02-364-6585,기존
CETERA,ceterakorea@naver.com,cetera.official,https://www.wechat.com/cetera1,더마,Tier A,A,A-C08,+82-2-577-2270,기존
(주)섬섬바이오,sumsum2022@naver.com,searce_official,https://searce.shop/,스킨케어,Tier A,A,A-C14,+82 61-395-7633,기존
(주)알에이치앤비브랜즈,info@rhnb.co.kr,pretty_actually,https://www.ratedgreenglobal.com/prettyactually,스킨케어,Tier A,A,A-C21,0269597001,기존
브에노메디텍,ds2oph@naver.com,bueno.official,https://www.bueno9.com/,더마,Tier A,A,A-C23,0317171243,기존
쥬네뷰,dewdap@naver.com,dewdap.official,https://www.dewdap.com/,스킨케어,Tier A,A,A-C27,01076671804,기존
컬러딥,min@miskos.co.kr,colordeep_korea,https://miskos.co.kr/,메이크업,Tier A,A,A-C31,02-6092-2200,기존
주식회사 반다비앤에이치,vandabnh@vanda.co.kr,kiwiglow.official,https://kiwiglow.co.kr/,스킨케어,Tier A,A,A-C32,+82 70-4640-6107,기존
주식회사 정림에프앤에이치,4674sjh@naver.com,vanava_cosmetics,https://www.vanava.co.kr/,바디,Tier A,A,A-C41,+82 1085679732,기존
주식회사 웰컴이엔앰,dandymicn@welcomems.co.kr,,https://welcomesgroup.com,메이크업,Tier A,A,A-C43,02-6392-7440,기존
닥터바이오 & 티블레스,global_sales@rokcorp.co.kr,dr.bio_official,https://litt.ly/corporationrok_global_sales?ref=qr.litt.ly,스킨케어,Tier A,A,A-C46,063-717-8787,기존
Y.N.M,ynm@ynmcosmetic.co.kr,ynmbeauty_official,https://ynmcosmetic.co.kr/,메이크업,Tier A,A,A-C48,02-839-7738,기존
헤트라스,globalsales@hetras.co.kr,hetras.official,https://youtu.be/qRuMsXV8pSw,향수,Tier A,A,A-D01,02)777-1777,기존
