,,,,,,,,,,,,,,,발송율,열람,클릭,회신,미팅 성사,계약 성사,,,,
[아웃바운드] 6월 세일즈,,,,,,,,,,,,계약성사 :,0,,0.0%,0.0%,0.0%,0.0%,0.0%,#DIV/0!,,,,
최종 확인 ,,,,,,,,,,,,,,,35,35,35,35,35,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
브랜드 에셋,,,,,,,,,,,,SNS,,,영업 영역,,,,,,,,,
#,구분,브랜드명,연락처,업체명,신뢰도,메일유형,발송적합도,발송단계,훅,메일주의,비고,인스타,감도,마케팅 경험,발송,열람,클릭,회신,미팅,발송일자,회신일자,2차 메일,출처,성사여부
1,색조,Age20's,privacy@aekyung.kr,애경산업,높음,브랜드도메인,적합,초안,"Age20's에 어울리는 인플루언서는, 쿠션 파운데이션의 커버력과 발색을 데일리 메이크업 속에서 자연스럽게 보여줄 수 있는 분들이라고 생각합니다.",,,@age20s_official,,,,,,,,,,,매출 상위 리스트,
2,스킨케어,달바,biz_korea@dalba.com,달바글로벌,높음,브랜드도메인,적합,초안,"달바의 비건 스킨케어·미스트 라인은, 일상 속 루틴을 감성적으로 담아내는 분들과 잘 맞을 것 같습니다.",,,@dalba_official,,,,,,,,,,,매출 상위 리스트,
3,스킨케어,조선미녀,support_kr@beautyofjoseon.com,구다이글로벌,높음,브랜드도메인,적합,초안,"한방 성분 스킨케어는 꾸준한 사용 변화가 설득력이 되는 카테고리라, 조선미녀와 함께할 인플루언서는 피부 결을 장기적으로 보여줄 수 있는 분들이 어울린다고 생각합니다.",,,@beauty_of_joseon,,,,,,,,,,,매출 상위 리스트,
4,스킨케어,메디힐,help@medihealcos.com,엘앤피코스메틱,높음,브랜드도메인,적합,초안,메디힐에는 마스크팩을 루틴 케어의 일부로 소개하며 피부 컨디션 변화를 진솔하게 전달하는 분들이 잘 맞을 것 같습니다.,,,@mediheal_global,,,,,,,,,,,매출 상위 리스트,
5,색조,CLIO,clioir@clio.co.kr,클리오,높음,브랜드도메인,적합,초안,"아이라이너·립 등 포인트 색조를 즐겨 다루는 분들이라면, CLIO의 제품 라인을 메이크업 무드 안에서 자연스럽게 녹여낼 수 있을 것이라 생각합니다.",클리오(회사)가 CLIO 외 PERIPERA·GOODAL 등 멀티브랜드 운영. 브랜드 특정하여 발송 권장.,,@clio_cosmetics,,,,,,,,,,,매출 상위 리스트,
6,스킨케어,넘버즈인,marketing@benow.co.kr,비나우,높음,브랜드도메인,적합,초안,"기능성 앰플·세럼은 성분과 효과를 근거 있게 풀어내는 콘텐츠가 신뢰를 얻는다 보니, 넘버즈인에는 스킨케어 루틴을 꼼꼼하게 설명하는 분들이 어울린다고 생각합니다.",,,@numbuzn_official,,,,,,,,,,,매출 상위 리스트,
7,스킨케어,AHC,so-jung.kim@carverkorea.com,카버코리아,높음,브랜드도메인,적합,초안,"AHC의 스킨케어·아이크림 라인은, 피부 고민을 솔직하게 나누며 기초 루틴을 꾸준히 다루는 분들과 잘 맞을 것 같습니다.",이메일이 개인명(so-jung.kim) 형식의 담당자 메일. 수신자 재직 여부·담당 범위 사전 확인 후 발송 권장.,,@ahc_global,,,,,,,,,,,매출 상위 리스트,
8,스킨케어,닥터지,gmteam@gwss.co.kr,고운세상코스메틱,높음,회사도메인,적합,초안,"더마코스메틱·트러블케어 제품군 특성상, 닥터지에는 피부 고민 개선 과정을 실제 경험 기반으로 전달하는 분들이 어울린다고 생각합니다.",,,@drg_official,,,,,,,,,,,매출 상위 리스트,
9,색조,롬앤,romandyou@romand.co.kr,아이패밀리에스씨,높음,브랜드도메인,적합,초안,"립·블러셔·아이섀도우를 무드 있는 착장 콘텐츠에 녹여내는 분들이라면, 롬앤의 색조 라인과 잘 어우러질 것 같습니다.",,,@romand_official,,,,,,,,,,,매출 상위 리스트,
10,스킨케어,미샤,cs@ableshop.net,에이블씨엔씨,높음,회사도메인,적합,초안,"스킨케어부터 색조까지 폭넓은 라인을 갖춘 미샤에는, 기초와 메이크업을 함께 다루며 일상 뷰티 루틴을 소개하는 분들이 어울린다고 생각합니다.",이메일 도메인(ableshop.net)이 CS 쇼핑몰 도메인으로 마케팅 담당 창구가 아닐 수 있음. 공식 마케팅 채널 별도 확인 권장.,미샤·어퓨 운영,@missha_official,,,,,,,,,,,매출 상위 리스트,
11,스킨케어,셀리맥스,contact@celimax.co.kr,앱솔브랩,높음,브랜드도메인,적합,초안,"진정 성분 더마코스메틱은 자극받은 피부 회복 과정을 진솔하게 담아내는 콘텐츠가 공감을 얻는다 보니, 셀리맥스에는 민감성 피부 고민을 함께 나눌 수 있는 분들이 잘 맞을 것 같습니다.",,셀리맥스(celimax) 운영 / [정정 2026-06-11] 토리든 메일 오기 수정,@celimax_official,,,,,,,,,,,매출 상위 리스트,
12,스킨케어,바닐라코,banila@banila.com,에프앤코,높음,브랜드도메인,적합,초안,"클렌징·프라이머·쿠션으로 이어지는 베이스 루틴을 감각적으로 구성하는 분들이라면, 바닐라코의 제품 흐름을 자연스럽게 전달할 수 있을 것이라 생각합니다.",,바닐라코 제휴 담당 / 발송전용 가능성→회신 시 CS 병행,@banila_co,,,,,,,,,,,매출 상위 리스트,
13,스킨케어,아토팜,neoshop@neopharm.co.kr,네오팜,높음,브랜드도메인,적합,초안,민감성·아토피 피부를 가진 분들의 실사용 경험을 담담하게 전달하는 콘텐츠가 아토팜과 잘 맞을 것이라 생각합니다.,,,@atopalm_official,,,,,,,,,,,매출 상위 리스트,
14,헤어바디,닥터포헤어,global_mkt@wyattcorp.com,와이어트,높음,브랜드도메인,적합,초안,"두피케어와 탈모 고민을 직접 경험하며 변화 과정을 꾸준히 보여주는 분들이라면, 닥터포헤어의 폴리젠·피토테라피 라인과 잘 어울릴 것 같습니다.",,,@drforhair_official,,,,,,,,,,,매출 상위 리스트,
15,스킨케어,리들샷,enc@enccosmetic.co.kr,이앤씨,높음,브랜드도메인,적합,초안,"리들샷에 어울리는 인플루언서는, 마이크로니들 앰플 같은 기능성 성분을 일상 루틴 속에서 체감 변화로 풀어낼 수 있는 분들이라고 생각합니다.",,리들샷 제조사 통합문의 / 영업팀 070-4349-5397,@vtcosmetics_official,,,,,,,,,,,매출 상위 리스트,
16,스킨케어,닥터자르트,webmaster@drjart.com,해브앤비,높음,브랜드도메인,적합,초안,"더마코스메틱은 효능 근거가 설득의 핵심이라, 닥터자르트의 세라마이딘·시카 라인을 피부 장벽 회복 관점에서 진지하게 다루는 분들과 잘 맞을 것 같습니다.",,,@drjart,,,,,,,,,,,매출 상위 리스트,
17,색조,정샘물,jsmbeauty@jsmbeauty.com,정샘물뷰티,높음,브랜드도메인,적합,초안,"정샘물은 색조와 베이스의 완성도가 브랜드 정체성인 만큼, 파운데이션 쿠션 피니시나 아이 메이크업 디테일을 즐겨 보여주는 분들이 어울린다고 생각합니다.",,,@jungsamwool,,,,,,,,,,,매출 상위 리스트,
18,스킨케어,마녀공장,manyofactory_cs@manyo.co.kr,마녀공장,높음,브랜드도메인,적합,초안,"갈락토미·비피다처럼 발효 성분 중심의 라인업이라, 마녀공장과 함께할 분은 꾸준한 사용 후 피부 결 변화를 담담하게 기록하는 스타일이 잘 맞을 것 같습니다.",,,@manyo_official,,,,,,,,,,,매출 상위 리스트,
