구분,회사명,ICP세부,홀,부스번호,이메일,전화,웹사이트,신뢰도,플래그,검증,판단근거,상세페이지
Tier A,TREEANNSEA 트리앤씨,스킨케어,134,134,global@treeannsea.co.kr,070-4138-3777,http://www.treeannsea.us,high,,,"극한환경 원료 클린뷰티 자체 브랜드, 대표제품 사막소금 팩클렌저 등 소비자 대상 비건 스킨케어 판매.",https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.treeannsea%20%ED%8A%B8%EB%A6%AC%EC%95%A4%EC%94%A8.org-64880cf6-f1da-490a-b79e-6147eeb8b119.html
Tier A,(주)더제이알,스킨케어,A,A-A04,thejrinc17@gmail.com,07076262201,https://www.polocosmetic.com,high,,,"남성 스킨케어 전문 자체 브랜드로 홈쇼핑 단일제품 200억 매출, 소비자 완제품 라인업 보유.",https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.%EC%A3%BC%EB%8D%94%EC%A0%9C%EC%9D%B4%EC%95%8C.org-63fc5959-62bd-4f14-97a2-f3f43ba890d0.html
Tier A,(주)본플렉스,헤어,A,A-A08,ellaplex@ellaplex.com,+82 10-6710-3368,https://www.wechat.com/bonplex01,high,,,"프리미엄 헤어케어 자체 브랜드 BONPLEX·ELLAPLEX 보유, 손상모 케어 완제품 소비자 대상.",https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.%EC%A3%BC%EB%B3%B8%ED%94%8C%EB%A0%89%EC%8A%A4.org-30b2f9e8-61a6-44cc-9258-c2a638c914b0.html
Tier A,㈜프롬비건,스킨케어,A,A-A15,cdysr@fromvegan.co.kr,01077542537,https://www.chorokchorong.com,high,indie,,"비건 스킨케어 자체 브랜드 CHOROK CHORONG 보유, 올리브영 기준 클린뷰티 소비자 브랜드.",https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.%ED%94%84%EB%A1%AC%EB%B9%84%EA%B1%B4.org-4617d5dd-e937-4ce1-9cab-a5454fb4970e.html
Tier A,벨플라워,스킨케어,A,A-A20,bellflower.cs@gmail.com,031-901-0144,https://bellflowercos.com/,high,export,,2018년 브랜드 런칭 후 세럼·크림·선스크린 등 자체 스킨케어 라인을 13개국에 출시한 소비자 브랜드.,https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.%EB%B2%A8%ED%94%8C%EB%9D%BC%EC%9B%8C.org-a40bef78-fa0a-4865-8ca7-92ea9bc2eb59.html
Tier A,주식회사 보타닉센스,스킨케어,A,A-A21,info@botanicsens.com,1666-6536,https://www.botanicsens.com/,high,,,BOTANICSENS/KYPHI 두 자사 브랜드로 27종 제품을 보유한 소비자 더마 스킨케어 브랜드.,https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.%EC%A3%BC%EC%8B%9D%ED%9A%8C%EC%82%AC%20%EB%B3%B4%ED%83%80%EB%8B%89%EC%84%BC%EC%8A%A4.org-a0c4fce1-5655-4d19-a26d-96d797805d14.html
Tier A,누셀리크,더마,A,A-B03,soisintl.biz@gmail.com,01035848277,https://nuselique.co.kr/,high,,,"NAD+ 기반 더마 코스메틱 자체 브랜드(NADIENCE+), 데일리 홈케어 소비자 라인 명확.",https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.%EB%88%84%EC%85%80%EB%A6%AC%ED%81%AC.org-d3bd0daf-db5e-470a-9adb-6fc6966e95ab.html
Tier A,CLAIRLISSE,더마,A,A-B07,,,,medium,indie,uncertain,"민감피부용 자체 스킨케어 브랜드 클레어리스, 소비자 일상 케어 지향(website 미상).",https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.clairlisse.org-271329a5-9639-446e-8547-e39dce242a32.html
Tier A,DEWVERO,스킨케어,A,A-B08,nscompany123@naver.com,010-7139-2569,http://www.dewvero.com,high,,,"에스테틱 노하우 기반 홈케어 자체 브랜드 '듀베로', 소비자 대상 기초 스킨케어 제품 판매.",https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.dewvero.org-ddbddf40-d4af-4c03-b2f4-1535e46e4027.html
Tier A,LANNUE,스킨케어,A,A-B11,lannue.cos@gmail.com,070-4210-1301,https://lannue.co.kr/,high,export,,"임상 스킨케어 자체 브랜드, 10개 제품 13개국 수출하는 명확한 소비자 브랜드.",https://www.intercharmkorea.com/ko-kr/exhibitor_directory/Exhibitor_detail.lannue.org-9b9565e5-eeea-4447-9b07-6b62a7d93b51.html
