브랜드명,카테고리,인스타,근거,출처,그룹
백아율,스킨케어(세럼/한방),@baekayul_official,"화해 루키로 신제품 출시 1년 만에 거래액 100배 성장한 초신생 브랜드, 폭발적 성장 구간이라 인플루언서 마케팅 ROI가 가장 큰 시기",1차,스킨케어
탐뷰티,색조 (립오일·쿠션·블러셔),@tambeautyme,"2024년 인플루언서 다샤 타란이 런칭한 신생 색조, 젤리 라인으로 시작해 라인 확장 중 — 인플루언서 기반 브랜드라 협업 친화적",1차,색조
모이컬러,색조 (아이팔레트·립),@moicolor_official,유해성분 최소화 '마이 컬러' 콘셉트의 인디 색조 — 인지도가 낮아 인플루언서 발색 리뷰로 노출 확대 여지 큼,1차,색조
락컬러,색조 (틴트·블러셔),@lockcolor.korea,"L.O.C.K. Color 인디 색조 브랜드, 합리적 가격대 데일리 컬러 — 인지도 키우는 단계라 인플루언서 협업 여지 큼",1차,색조
언리시아,색조 (비건 글리터·아이팔레트·립밤),@unleashia,"PETA 비건 글리터 전문 인디, '글리터피디아 팔레트' 시그니처 — 비주얼 임팩트 큰 글리터라 릴스·튜토리얼 인플루언서와 궁합",1차,색조
비가노,스킨케어 (민감성/저자극),@viegano_official,"팔로워 약 3.5천의 소규모 민감성 비건 브랜드로 전 제품 피부자극테스트 완료, 인지도 확대가 시급해 인플루언서 시딩 효과가 큼",1차,스킨케어
헤일앤데일,스킨케어 (비건 리추얼 클렌저·토너),@haleanddale.official,"팔로워 약 3천의 비건 리추얼 스킨케어 신생 브랜드, 클린 루틴 세트 중심이라 루틴 콘텐츠형 인플루언서 협업에 적합",1차,스킨케어
비건제이,스킨케어 (비건 기초),@veganj_official,"이름부터 비건 정체성이 명확한 신생 인디 브랜드, 영문몰 운영 등 확장 의지가 있어 인지도 부스팅 협업 제안에 열려 있음",1차,스킨케어
씨들렛,스킨케어 (바이오 친환경 포뮬러),@seedlet_official,"EWG 그린등급의 생명공학 기반 친환경 포뮬러 신생 브랜드, 피부장벽+지속가능성 소구로 더마·클린 인플루언서 적합",1차,스킨케어
이너프프로젝트,스킨케어 (비건 미니멀),@enoughproject.official,"성분 최소주의 비건 라인으로 별도 운영되는 신생 라인, 독립 브랜드로 인지도 구축 중이라 협업 수용도 높음",1차,스킨케어
비햅,비건 더마 스킨케어(진정·장벽),@bhab_official,"시베리아 차가버섯 비건 프리미엄 컨셉 신생 인디, 임상 강조 스토리텔링으로 인플루언서 협업 친화적",1차,더마
