idx,구분,회사명,ICP세부,신뢰도,플래그,검증,홀,부스번호,이메일,웹사이트,원본카테고리,판단근거
300,Tier A,TREEANNSEA 트리앤씨,스킨케어,high,,,134,134,global@treeannsea.co.kr,http://www.treeannsea.us,"Skin Care, Make up and Color Cosmetics, Natural & Organic Cosmetics, Facial Masks, Men’s Care, Cleansing Products, Others","극한환경 원료 클린뷰티 자체 브랜드, 대표제품 사막소금 팩클렌저 등 소비자 대상 비건 스킨케어 판매."
11,Tier A,(주)더제이알,스킨케어,high,,,A,A-A04,thejrinc17@gmail.com,https://www.polocosmetic.com,,"남성 스킨케어 전문 자체 브랜드로 홈쇼핑 단일제품 200억 매출, 소비자 완제품 라인업 보유."
25,Tier A,(주)본플렉스,헤어,high,,,A,A-A08,ellaplex@ellaplex.com,https://www.wechat.com/bonplex01,"Hair Care Products, Scalp Care Products, Hair Styling Products, Equipment and Products for Professional Hair Salon","프리미엄 헤어케어 자체 브랜드 BONPLEX·ELLAPLEX 보유, 손상모 케어 완제품 소비자 대상."
320,Tier A,㈜프롬비건,스킨케어,high,indie,,A,A-A15,cdysr@fromvegan.co.kr,https://www.chorokchorong.com,"Skin Care, Facial Masks, Contract Manufacturing(OEM/ODM)","비건 스킨케어 자체 브랜드 CHOROK CHORONG 보유, 올리브영 기준 클린뷰티 소비자 브랜드."
426,Tier A,벨플라워,스킨케어,high,export,,A,A-A20,bellflower.cs@gmail.com,https://bellflowercos.com/,Skin Care,2018년 브랜드 런칭 후 세럼·크림·선스크린 등 자체 스킨케어 라인을 13개국에 출시한 소비자 브랜드.
481,Tier A,주식회사 보타닉센스,스킨케어,high,,,A,A-A21,info@botanicsens.com,https://www.botanicsens.com/,"Skin Care, Body Care, Derma Cosmetics, Natural & Organic Cosmetics",BOTANICSENS/KYPHI 두 자사 브랜드로 27종 제품을 보유한 소비자 더마 스킨케어 브랜드.
378,Tier A,누셀리크,더마,high,,,A,A-B03,soisintl.biz@gmail.com,https://nuselique.co.kr/,"Skin Care, Cosmeceutical Products, Derma Cosmetics, Facial Masks, Cleansing Products, Others","NAD+ 기반 더마 코스메틱 자체 브랜드(NADIENCE+), 데일리 홈케어 소비자 라인 명확."
469,Tier A,CLAIRLISSE,더마,medium,indie,,A,A-B07,,,"Skin Care, Derma Cosmetics","민감피부용 자체 스킨케어 브랜드 클레어리스, 소비자 일상 케어 지향(website 미상)."
101,Tier A,DEWVERO,스킨케어,high,,,A,A-B08,nscompany123@naver.com,http://www.dewvero.com,Skin Care,"에스테틱 노하우 기반 홈케어 자체 브랜드 '듀베로', 소비자 대상 기초 스킨케어 제품 판매."
461,Tier A,LANNUE,스킨케어,high,export,,A,A-B11,lannue.cos@gmail.com,https://lannue.co.kr/,"Skin Care, Facial Masks, Cleansing Products","임상 스킨케어 자체 브랜드, 10개 제품 13개국 수출하는 명확한 소비자 브랜드."
52,Tier A,celebon,스킨케어/더마,high,,,A,A-B12,dhoh@hlmc.co.kr,https://www.celebon.co.kr,"Skin Care, Derma Cosmetics",세포투과펩타이드 특허 침투기술 자사몰(celebon.co.kr) 운영하는 소비자 스킨케어 브랜드.
211,Tier A,matthew chang perfumes,향수,high,,,A,A-B13,contact@matthewchangperfumes.com,https://matthewchangperfumes.com/,"Body Care, Perfumery, Others",메튜장 자체 향수 브랜드로 소비자 대상 향수 제작·판매.
462,Tier A,주식회사 랑벨,더마,high,,,A,A-B16,shoo.noh@lanbelle.com,https://lanbelle.com/,"Skin Care, Cosmeceutical Products, Derma Cosmetics, Natural & Organic Cosmetics, Brands/Manufacturer(Skin Care)",박애란 대표 설립 더마 스킨케어 전문 자체 브랜드 '랑벨'을 직접 운영.
478,Tier A,주식회사 바이잇,스킨케어,high,export,,A,A-B26,export@luvum.co.kr,https://luvum.co.kr/,"Skin Care, Cosmeceutical Products, Natural & Organic Cosmetics, Facial Masks, Cleansing Products, Others, Distribution",자체 K-뷰티 스킨케어 브랜드 Luvum을 35개국 리테일·이커머스로 판매하는 소비자 브랜드.
244,Tier A,안탈라,더마,high,export,,A,A-B28,official@antala.one,https://antala.kr/,"Skin Care, Derma Cosmetics","ANTALA·Monjeune 두 더마/슬로에이징 소비자 브랜드 운영, 미국·일본·몽골 수출 중인 자사 브랜드 보유."
452,Tier A,스튜디오17,메이크업,high,,,A,A-B36,lrkim@thebkor.com,https://www.studio17.co.kr,"Skin Care, Make up and Color Cosmetics, Accessories & Toiletries",자체 개발 브랜드 스튜디오17로 브러시 툴 및 기초화장품 라인 전개하는 소비자 브랜드.
