브랜드명,카테고리,인스타,근거
풀리 (FULLY),스킨케어,fully___official,"ICP 적합(검증완료): ㈜어댑트가 2024.2 론칭한 신생 자연주의·비건(V-Label) 스킨케어. 그린토마토 토너/세럼/크림/팩클렌저 풀라인, 자사몰(full-y.co.kr)+올리브영 D2C, 팩클렌저 화해어워드 1위 등 SNS 바이럴 중심으로 인플루언서 여지 큼. 출처: 머니투데이 '어댑트, 자연주의 스킨케어 브랜드 풀리 론칭'(2024.2.14)·테크월드 화해어워드 기사."
디퍼 (DPPR),스킨케어,dppr_official,"ICP 적합(검증완료): 주식회사 소브린이 2025.4 론칭한 신생 인디. '큐브' 독자성분 컨셉으로 히알큐브·PDRN큐브·두유장벽 세럼 등 기초 풀라인, 무신사·29CM D2C. 런칭 3개월 만에 랭킹 1위 강소브랜드. 출처: 무신사/29CM 브랜드페이지, 화해비즈니스 사례집, dpprskin.com."
커브드 (Kurved),스킨케어,kurved.kr,"ICP 적합: 주식회사 비플랜트의 신생 안티에이징 인디, 2024.11 한국 본격 론칭. 펩타이드+NMN 컨셉 토너패드/선세럼/크림/클렌저, 자사몰 D2C, 30대 초기노화 타깃으로 인플루언서 적합. 출처: 한경매거진(2025.8), Marie Claire K-beauty next-generation."
루비랩 (LUBYLAB),스킨케어,lubylab_official,"ICP 적합: 주식회사 코코앤비글로벌의 신생 더마 인디. 스피큘/엑소좀/PDRN 기반 홈서지컬 풀라인, 틱톡샵 등 SNS·인플루언서 커머스 강함. 출처: 비즈니스코리아 레디영 팝업 기사, 자사몰 푸터."
올리비아엄마 (OliviaUmma),스킨케어,oliviaumma,"ICP 적합: 김혜영 대표의 한국산 포뮬러 비건 인디('Born in Korea'). 탕후루 글래스스킨 라인(클렌저·토너패드·세럼·크림), 자사몰·아마존·미국 세포라 D2C로 모녀 스토리텔링 바이럴 강함. 출처: Marie Claire 'Korean beauty next-generation', Newswire 론칭 발표."
탈리다쿰 (Talitha Koum),스킨케어,talithakoum_official,"ICP 적합(검증완료): 2022년 본격 런칭 비건·클린 인디. 세계 최초 흰민들레 태좌배양추출물 특허원료 기반 세럼/토너/크림/클렌저/멀티밤, 자사몰+신사동 매장+세포라. 창업자가 애경家 3세지만 브랜드는 독립 스타트업 법인(애경 계열사 아님). Allure·Red Dot·iF 수상. 출처: en.talithakoum.co.kr, Red Dot/iF Design, 뉴시스(2024.6.21)."
리브엠 (REVE:AM),스킨케어,reve_am_official,"ICP 적합(런칭시기 경계선 주의): 주식회사 브리브컴퍼니의 진정 인디. 시카·엑소좀 라인이 출시 4개월 만에 2024 화해어워드 수상, 2024 매출 전년比 386% 성장, 자사몰·올리브영. 런칭 2022~2023 추정(자사몰 ©2022)으로 '2022 이후' 하한 경계. 출처: 더퍼블릭 올리브영 입점, cosinkorea 인디브랜드 기획."
탐뷰티 (TAM BEAUTY),색조,tambeautyme,"ICP 적합: 2024.10 론칭 신생 색조. 메가 인플루언서 다샤 타란이 ㈜에이위즈와 론칭, '더 젤리' 립오일/글로스 라인, 자사몰+인스타 직판. 인플루언서발 브랜드 자체가 마케팅 역량 내장, IG 초기단계라 매칭 여지 큼. 출처: TENANT news '다샤 타란 색조 브랜드 탐 뷰티 론칭'."
글맆 (GLYF),색조,glyfing,"ICP 적합: 2024.4 가수 전소미가 기획 참여해 론칭한 메이크업 브랜드(첫 제품 베이크드 하이라이터). 셀럽 파운더 기반 D2C·인스타 직판으로 콘텐츠 마케팅 밀착, 라인 확장기 콜라보 수요. 출처: 마리끌레르 코리아, 스포츠월드 'GLYF 론칭'."
시튜에아 (SITUEA),색조,,"ICP 적합(검증완료, 핸들 미확정): 2025.6.22 론칭 신생 색조. 스타일난다·3CE 창업자 김소희가 복귀해 만든 색조 전문, 첫 제품 손거울 일체형 립 '체크더미러'. 신규 D2C로 인플루언서 수요 큼. 인스타 핸들은 보도자료 기준 추정뿐이라 미확정 처리(확인 후 보강). 출처: 코스모닝(no=52974), 인사이트(559019)."
소미 (sohme),색조,,"ICP 적합: 2025년 말 ㈜그라반스가 론칭한 신생 색조. 첫 제품 '투-고 블러쉬 앤 글로우 스틱'(블러셔+하이라이터 멀티 듀오, 4셰이드), 자사몰(sohmeskin.com) 운영. 막 출범해 인지도 확보 위한 인플루언서 여지 매우 큼. 인스타 핸들 미확인으로 공란. 출처: 피플게이트·코스모닝 '소미 론칭'."
위찌 (WHIZZY),색조,whizzy.kr,"ICP 부합(리테일러 PB 주의): 2025.2 무신사 뷰티가 1721세대 겨냥 론칭한 신생 메이크업, 색조 17종 1만원대. 색조·B2C·신생·인스타 활동 모두 부합. 단 무신사 PB(자체 유통망 보유)라 외부 인플루언서 매칭 영업 우선순위는 다소 낮음. 출처: 무신사 뉴스룸 '위찌 론칭', 코스인코리아."
하트퍼센트 (Heart Percent),색조,heartpercent,"ICP 부합(런칭 다소 이름·차순위): ㈜더플러스인터렉티브의 인디 메이크업, 'Find your mood'. 도트 온 무드 틴트/립펜슬 등 비건 색조, 틱톡 리뷰로 1020 인기, 자사몰+인스타 직판으로 인플루언서 의존도 높은 전형적 인디. 런칭 약 2020으로 '2022 이후' 가이드보다 이름. 출처: CMN, heartpercent.co.kr."
코랄헤이즈 (Coralhaze),색조,coralhaze_beauty,"ICP 부합(상장 모회사 주의, 검증완료): 2021 론칭 후 2023.2 색조로 리뉴얼. 무드 글로우 틴트·섀도우 팔레트·블러셔 등 16종, 무신사·W컨셉 B2C, 인스타 운영. 운영사 인스코비가 상장사(통신·금융 다각화 지주로 뷰티 대기업은 아니나 인디 순수성은 다소 약함). 출처: 코스인코리아(no=47655), 뉴스1, coralhaze.co.kr."
플래니스트 (PLANIST),스킨케어,planist.official,"ICP 적합: 2023.8 런칭 신생 비건 스킨케어. '빼기' 철학 자색당근 PHA 라인 전 제품 한국비건인증원 인증, 두리화장품이 MZ 타깃 신설한 인디 D2C라 인플루언서 수요 큼. 출처: 코스인코리아(no=49190), @planist.official."
