브랜드명,6월반영,카테고리,인스타,근거
혜자 (Hyeja),✓,스킨케어,hyejaskincare,"제주 기반 신생 인디 비건 스킨케어. 재미교포 창업자가 민감성 피부용으로 만든 소규모 B2C, 발효 쌀 크림·어성초 나이아신아마이드 진정 세럼 등 토너/세럼/크림 라인, EVE VEGAN 인증, 자사몰+W컨셉/EQL, IG @hyejaskincare 직접 운영. 출처: hyejaskincare.com·하퍼스바자 K뷰티 기사."
마일드랩 (MildLab),,스킨케어,mildlab.official,"㈜밀리밀 운영 독립 더마 인디. 2024.11 출시 신생, 트라넥삼산 기반 색소침착/저자극 토너·앰플·크림 풀라인, 자사몰+무신사+미국몰 DTC, IG 운영. 대기업·계열 아님. 출처: globalepic.co.kr·mildlab.co.kr."
닥터트웬티프로젝트 (Dr.20 Project),,스킨케어,dr.twentyproject_official,"㈜트웬티메디코스 운영 인디 더마. '나인 토너'가 2024 하반기 화해 베스트 신제품 1위, 토너·세럼·클렌징·크림 구성, 자사몰 DTC. 대기업·계열 아님. (설립 2020이라 런칭 시점은 다소 이르나 히트 라인은 2024 신제품). 출처: hwahae.co.kr/awards·dr20project.com."
메노킨 (Menokin),✓,스킨케어,menokin_official,"이영애 화장품 디렉터 출신 이보경 대표 신생 인디 클린뷰티. 와디즈 완판 출범, 박보영 PICK 등 인플루언서/연예인 노출 큼, 자사몰·쿠팡 DTC. 주력은 30초 버블 마스크(워시오프)지만 더마 스킨케어 완제품 B2C, 대기업 아님. 출처: menokin.co.kr·하퍼스바자."
올릭 (OLIC / ORLIC),,스킨케어,,"메타폴라아로마 첫 PB 신생 인디. 코스인코리아 '2024 인디 브랜드' 소개, 2023.11 로즈마리&엑토인 세럼 와디즈 펀딩 출시, 한국비건인증원 비건, 토너·에센스·세럼·크림 풀라인, 백화점·스마트스토어·쿠팡 B2C. IG 미확인 공란. 출처: cosinkorea.com·orlic.co.kr."
듀이랩 (Du2LAB),✓,스킨케어,,"넥스벨바이오텍이 스킨부스터/필러 기술을 소비자 화장품으로 확장해 새로 론칭한 코스메슈티컬. 앰플·세럼·크림·아이크림·토너패드 5종으로 출범한 신생 B2C, 펩타이드·엑소좀 소구로 콘텐츠 소재 풍부. (모기업 의료미용 성격이라 경계선) IG 미확인 공란. 출처: meconomynews.com."
오드타입 (Oddtype),✓,색조,oddtype_official,"2023년 무신사 단독 발매 신생 색조 인디. 언씬 블러 틴트·벌룬 틴트·워터 블러시 등 립/블러셔 중심 B2C, IG·인플루언서 협찬으로 직판. 출처: 무신사 뉴스룸 2023·zdnet.co.kr."
에이오유 (AOU),,색조,aoucosmetics,"메이크업 아티스트 조은비 인디 색조(2023~). 사과밤·앵두밤 립밤 품절대란 후 블러셔·톤업크림 확장, 아이돌 사용으로 IG 바이럴, 올리브영 입점. 인플루언서 수요 큼. 출처: elle.co.kr·aoucosmetics.com."
얼터너티브스테레오 (Alternative Stereo),,색조,alternativestereo,"로파이·아날로그 콘셉트 인디 메이크업, '2022 넥스트 K-뷰티' 선정. 립 포션 라인(2023) 시그니처, 립/치크/마스카라 색조, 자사몰+올리브영·시코르, IG 기반 소통. 출처: marieclairekorea.com·무신사."
네이밍 (NAMING),,색조,naming.cosmetic,"포컴퍼니 운영 'BOLD NATURAL' 색조. 듀이 글래스 립 틴트·플러피 파우더 블러쉬·쿠션 등 풀라인, 무신사·W컨셉, 2024 일본 진출, 인플루언서 마케팅 활발. 출처: naming.co.kr·namu.wiki."
딘토 (Dinto),,색조,dinto_cosmetic,"고전문학 모티프 PETA 비건 인디 색조(2021 론칭). 브로글로우 립 틴트 누적 400만개+, 노스탤지아 아이 팔레트 등 립/아이/베이스, 해외 매출 약 50%, 인플루언서 협업·한정판 빠른 회전. 출처: byline.network·dinto.co.kr."
